user_id,timestamp,page,session_id,action
db10f888,2025-06-07 15:31:17,product,c01e69f9,view
6e72ae95,2025-06-03 04:03:09,cart,0176cd40,purchase
161d328d,2025-06-02 16:21:52,product,dc1fd46b,purchase
91363f3c,2025-06-01 04:57:21,product,a2b3730d,view
3a02ee0d,2025-06-07 23:01:26,home,4fec37fa,add_to_cart
4ea1fb33,2025-06-04 06:08:48,home,b3583921,add_to_cart
1420a280,2025-06-02 22:25:43,product,81f8473a,view
ee9c0ed2,2025-06-03 23:18:42,product,a2f1659c,add_to_cart
51e21f41,2025-06-05 20:27:25,purchase,e2177eda,view
9307d35e,2025-06-02 18:59:02,checkout,b1db5119,view
d9b3f79d,2025-06-06 17:26:46,cart,7a3a3fe9,view
2f69567b,2025-06-04 02:53:53,home,7e2c8823,view
8ea77e0a,2025-06-03 11:29:24,product,bf5ce952,view
7e173678,2025-06-07 06:00:55,home,222268df,add_to_cart
9d40aace,2025-06-04 19:29:51,product,3d3b357c,view
236656c9,2025-06-03 17:14:32,home,966f84ad,view
f5c430ad,2025-06-01 06:37:51,product,3384d4e6,view
01de5435,2025-06-03 11:27:00,product,d086b582,add_to_cart
f38584ad,2025-06-02 09:40:33,home,54142c58,view
86cf320e,2025-06-01 13:22:44,cart,00fce74d,view
7ca4c838,2025-06-03 03:12:53,product,0bc9dc0f,view
e7a59f07,2025-06-02 14:28:43,home,a035b4c1,view
8f7181c6,2025-06-06 05:23:12,purchase,71ba6c44,view
487ff886,2025-06-03 17:00:53,product,3e3c1e99,view
e4c6df66,2025-06-02 13:18:04,home,4c5aef98,purchase
39c96e0b,2025-06-01 18:27:32,home,f993991b,view
f27af2d3,2025-06-07 15:52:14,purchase,529927c0,view
526442f6,2025-06-05 21:22:44,checkout,e2e98d46,view
8d9c3bda,2025-06-06 11:30:57,home,e9ba80fd,view
9a8f4ba7,2025-06-01 10:58:19,checkout,7333f8f3,purchase
a755de15,2025-06-02 09:11:21,product,2f994cff,purchase
5ab37d6b,2025-06-03 09:49:07,home,ec88d852,view
9728dde6,2025-06-04 01:50:42,cart,92f0e198,view
d81a0a87,2025-06-05 14:24:13,product,5d7ccf7d,add_to_cart
6e6cac7d,2025-06-05 13:13:28,home,b4408393,view
fcf4016d,2025-06-04 01:36:48,home,a3e6d680,view
276f77e8,2025-06-04 11:41:12,product,3747d81a,view
7cab1484,2025-06-07 05:53:34,cart,abc308ea,view
3cbcb4e6,2025-06-05 14:43:48,product,3beffd19,view
ac4ef136,2025-06-03 04:11:39,home,3481ccaa,add_to_cart
6f0edb29,2025-06-04 03:24:53,cart,ce8fffda,view
86f11df9,2025-06-03 17:30:03,home,310fc96d,view
5f92d976,2025-06-06 16:33:41,purchase,133317ed,add_to_cart
2e39347b,2025-06-03 09:55:24,product,59f7bfc6,view
0199ef7a,2025-06-01 17:23:06,home,d1607b2f,view
e33445cc,2025-06-02 06:09:13,product,5ada45be,view
f31b0317,2025-06-05 23:20:47,product,7e6a12d0,add_to_cart
02afb2a6,2025-06-03 19:27:34,home,27413884,purchase
4aca8c2f,2025-06-04 18:22:06,home,fea6ffa5,add_to_cart
a98ac4a4,2025-06-04 07:07:02,purchase,41deb9ef,view
8ba4d203,2025-06-02 21:48:20,home,975f6481,view
1e679dfb,2025-06-06 06:49:28,home,cbb184e7,view
7fec0dc5,2025-06-03 05:07:19,product,50f48ac9,purchase
e059db6a,2025-06-07 07:43:55,home,f9d78b63,purchase
81a0bd24,2025-06-01 19:37:40,home,6609dbdb,view
ac90cff0,2025-06-03 11:35:54,home,f15e406d,view
3972b629,2025-06-02 17:50:51,cart,bff7bc37,add_to_cart
c2409ead,2025-06-02 06:49:54,home,b27bf0b9,view
c0749b2a,2025-06-02 03:31:54,product,3d184515,view
8151564f,2025-06-01 02:34:10,home,f069930f,view
7e81bf96,2025-06-03 13:47:24,product,58eb64c8,view
74691cc0,2025-06-02 20:47:15,product,84dce6b6,view
e2d89495,2025-06-03 07:50:20,product,aaf063ee,add_to_cart
577fc394,2025-06-03 21:46:31,product,128c8d11,view
0d630825,2025-06-01 15:24:48,product,1102517e,view
4e98fa99,2025-06-06 06:55:27,cart,7e0492ee,view
489e7606,2025-06-06 04:17:58,home,5ec754c0,purchase
2313eb17,2025-06-02 17:16:04,product,e5206a73,view
9282ecf2,2025-06-01 09:22:34,checkout,224ed5ba,view
d1311ac4,2025-06-06 13:39:22,home,87751100,add_to_cart
1d6ae1fe,2025-06-02 09:10:24,purchase,9d9bcdcc,view
0cf1095b,2025-06-04 21:21:22,cart,6e221649,view
40daed47,2025-06-05 10:03:11,home,3ed35a27,view
41e81f5f,2025-06-02 03:31:19,home,b8417bd7,view
8aadce2d,2025-06-01 02:31:46,home,8f01c809,view
cd73efec,2025-06-02 00:49:19,home,d89bf1c2,view
41fb86a4,2025-06-02 21:39:05,product,cd595f8c,view
b63a43ea,2025-06-02 19:45:05,home,040bfc99,view
aa0b2463,2025-06-03 15:08:59,home,f0793524,view
e2a2237b,2025-06-03 00:24:29,purchase,4a9949fe,view
59034046,2025-06-05 16:18:41,home,f4468bdd,view
cfb634ba,2025-06-04 00:19:48,cart,5a1acb37,purchase
8add5a0e,2025-06-06 02:57:08,product,32d005a4,view
13ea1ce6,2025-06-01 16:07:33,product,b198417e,view
23cd4035,2025-06-02 05:00:57,cart,06223e38,view
70e75996,2025-06-07 13:02:15,home,52b669b8,view
91a2aa95,2025-06-02 18:45:39,cart,9e59815e,purchase
df2fe4c5,2025-06-06 22:39:32,checkout,14c5b292,view
6bac660e,2025-06-03 07:14:24,home,80abfa68,purchase
5bce858d,2025-06-01 13:57:04,home,406c560b,view
205cdab4,2025-06-05 09:45:53,home,378472bf,add_to_cart
4f53f819,2025-06-03 16:32:25,checkout,75a0d5f5,view
a1e968d0,2025-06-03 20:09:13,cart,f3cf12e6,view
e996b957,2025-06-07 16:56:22,product,48ce207e,view
371552df,2025-06-01 13:38:50,home,804e23bb,view
2b53098e,2025-06-07 00:24:08,product,b7b3f37d,view
e59f3a8d,2025-06-06 19:48:00,product,5a25be9e,add_to_cart
38348b94,2025-06-07 20:56:33,product,3a35aa6c,purchase
9a681673,2025-06-03 17:54:56,home,6783430f,view
283419fc,2025-06-07 08:55:22,home,b61e4e7e,view
b307b38d,2025-06-06 01:10:43,cart,7bf3d981,view
d1afd307,2025-06-07 04:38:15,home,c686fa0e,add_to_cart
a74b3c8e,2025-06-06 23:17:43,product,8e9e68f8,view
2f4591cf,2025-06-05 04:43:55,home,652751be,view
eb00964b,2025-06-06 13:25:46,home,e9d0abaf,view
6c256665,2025-06-03 20:20:30,home,92c6782f,view
5a3127ec,2025-06-01 02:43:08,home,5963a34d,add_to_cart
21ed6bf7,2025-06-05 07:22:46,product,1921c42f,add_to_cart
c14adbe5,2025-06-01 12:04:51,cart,851fcf02,view
0b9487fb,2025-06-02 10:08:02,home,df503905,view
10062b38,2025-06-04 06:12:59,home,395deb51,purchase
fb5af2fd,2025-06-06 19:25:23,cart,876eddea,add_to_cart
f92a2cd2,2025-06-03 21:30:43,home,f7810a06,view
360ebaea,2025-06-05 06:06:26,checkout,c443e5ba,purchase
e3938188,2025-06-03 13:43:36,purchase,627eb026,purchase
de5fe465,2025-06-02 14:23:51,checkout,73f73db6,purchase
30a5c588,2025-06-05 05:38:53,home,e95b3dce,view
05610d7e,2025-06-02 10:42:19,home,4b73e23c,view
18b09e9c,2025-06-04 14:32:13,cart,f2d1eb64,view
4902dd80,2025-06-01 21:33:31,product,a16fab26,add_to_cart
9711f1ff,2025-06-03 17:40:34,home,f3e1d2cf,view
ff3e312d,2025-06-02 07:21:13,home,1526d00e,view
ee02e5e9,2025-06-05 13:37:58,product,581a6924,view
cab915a8,2025-06-07 19:11:48,checkout,aa9f9edd,add_to_cart
eb778cb6,2025-06-06 15:48:48,product,f046697f,view
2d3df458,2025-06-04 18:58:08,product,e6b0aaf6,view
07ce7de2,2025-06-03 14:53:15,cart,c717d6f4,add_to_cart
30dc5db4,2025-06-04 03:25:57,cart,e2f3cfea,view
580ae647,2025-06-05 18:14:26,checkout,c18d84ed,purchase
650c3970,2025-06-05 16:27:24,home,e5bdc4ec,view
fd73a157,2025-06-01 10:51:04,purchase,6d70cf72,view
a424b1f0,2025-06-01 09:33:44,home,0c7e6256,view
f31b0317,2025-06-01 09:24:59,home,4bbce986,add_to_cart
4e98fa99,2025-06-04 09:29:51,product,3bf78f85,view
1ea3b603,2025-06-04 19:02:15,home,a249a4df,purchase
47e56418,2025-06-05 19:52:39,home,9118be81,view
d8ebd7fa,2025-06-03 07:31:27,purchase,85fc15d2,view
bde446e8,2025-06-05 13:39:09,home,c36d6467,view
c710f21b,2025-06-03 16:49:47,purchase,60b38034,view
5581acfd,2025-06-04 05:33:10,product,d29161dd,view
44c23e62,2025-06-06 13:03:01,purchase,b92086ce,add_to_cart
68c5c201,2025-06-03 15:00:58,checkout,40cd8dce,view
91b78f0d,2025-06-01 14:29:35,product,ce680fcb,view
c6043206,2025-06-05 11:41:41,product,9f94b576,view
f2baac01,2025-06-02 12:24:29,purchase,72730bfe,view
b7e5a36c,2025-06-07 19:03:50,product,24f59d9f,view
3b9ca361,2025-06-02 19:09:23,home,3c6d1398,view
7cc7a1a9,2025-06-07 23:19:00,purchase,de928879,view
2112189b,2025-06-03 10:57:12,home,6104feb7,view
2a6553d0,2025-06-06 00:09:53,home,aa449879,view
8795d8fa,2025-06-06 18:16:40,cart,850af088,view
e316132e,2025-06-03 18:03:27,product,991732cb,add_to_cart
df2fe4c5,2025-06-05 13:47:00,home,d775b8af,add_to_cart
6ad3fc80,2025-06-06 01:39:05,product,7802d76a,view
d178ebce,2025-06-07 21:20:58,home,c13819cb,view
7fa51403,2025-06-07 11:55:02,product,29930496,view
904bff30,2025-06-02 05:24:34,product,dae43bc2,view
4605b56b,2025-06-07 15:50:14,product,ea78382d,view
0f39d3eb,2025-06-01 16:14:37,checkout,c3086c4d,view
b34cac1e,2025-06-07 02:54:09,cart,fe183db9,view
ec6f40e7,2025-06-03 19:52:45,product,b4fb1518,purchase
76937ca4,2025-06-02 12:25:24,product,ea7fd446,add_to_cart
18d3e0d0,2025-06-07 07:03:43,cart,dc7b63de,view
7fec0dc5,2025-06-01 17:43:58,product,20fbe969,add_to_cart
b23f97c3,2025-06-06 13:33:26,product,59ceb69e,view
3dbeff8c,2025-06-04 10:41:38,product,1f3a4044,add_to_cart
5a656bac,2025-06-04 04:53:39,product,de97ab9c,view
92742896,2025-06-04 01:24:16,purchase,6675a274,view
bd18c6af,2025-06-04 10:00:07,home,33ebfe9b,view
f3324f05,2025-06-02 07:20:44,product,89dde456,view
0d46bcbd,2025-06-05 05:26:30,checkout,46ec9f5e,view
7542e87a,2025-06-03 22:31:47,checkout,5409991d,view
86e1e693,2025-06-07 21:50:43,cart,10967bbc,view
f2217883,2025-06-02 12:19:48,product,39ffd834,view
ee87a09a,2025-06-02 05:15:15,product,b4d286f8,view
1db9f122,2025-06-04 00:31:52,home,90ed5d37,add_to_cart
bd451449,2025-06-05 23:39:49,product,e202d9d8,view
31ab7fe1,2025-06-05 17:46:21,product,d6990b1a,view
2d105811,2025-06-01 17:05:06,home,02d970fb,view
b60f262e,2025-06-03 04:46:49,checkout,244711b7,view
99793067,2025-06-02 00:52:18,product,e44d4d47,add_to_cart
d22c7eb1,2025-06-02 14:36:47,checkout,7c907b3c,view
b2b139fb,2025-06-06 03:24:19,home,4121ed80,view
5d0a6950,2025-06-03 10:34:29,product,f4da08e2,view
779ea4f2,2025-06-06 12:32:15,home,fc116d30,view
28130d13,2025-06-07 11:17:06,product,a077cd80,view
9a08beee,2025-06-07 02:03:59,product,ce79e242,view
bfe10e64,2025-06-07 12:58:59,checkout,5660dc3b,view
0e5151ec,2025-06-02 19:26:21,product,f28fddb1,view
dfd4d9da,2025-06-05 07:15:32,product,34bbeba4,view
7fc06ae3,2025-06-05 20:43:46,cart,ff508a9b,add_to_cart
25aab3d7,2025-06-06 07:56:11,home,0441d7e8,purchase
0bb2f5e8,2025-06-02 17:16:52,checkout,116f6d22,view
049d0e22,2025-06-03 14:59:16,home,d8bac29a,view
4d96528a,2025-06-01 20:06:44,product,bb9ce807,view
3fd13dc2,2025-06-07 13:37:23,product,67a30934,view
d746b527,2025-06-04 03:21:09,product,dc4bf642,view
25d86a2a,2025-06-02 08:06:11,home,99d08237,view
d071cde0,2025-06-03 14:20:20,product,0600b782,view
70d508ec,2025-06-02 20:27:37,home,129f3992,view
a3b4a9f5,2025-06-01 05:18:08,home,65712117,view
62eecf5d,2025-06-06 04:40:09,product,59a2e4c3,add_to_cart
c8a09493,2025-06-02 21:06:39,product,2e1bae5c,view
a598690f,2025-06-02 20:32:47,cart,40ba534d,add_to_cart
f1e975fa,2025-06-01 07:29:59,product,6c7eaeb7,view
b93317fb,2025-06-01 12:06:46,home,82497977,add_to_cart
ee9c0ed2,2025-06-03 01:02:12,cart,3671b63b,add_to_cart
269de35f,2025-06-03 04:41:34,product,6d458bf9,view
aecae406,2025-06-03 13:16:50,cart,54b51c8b,purchase
a270f57b,2025-06-01 04:39:33,home,f6f2840d,view
8b66a150,2025-06-02 08:18:56,checkout,d04bf202,view
6377606a,2025-06-01 11:35:25,home,c8ee40d0,view
6e5e60b6,2025-06-03 01:47:43,home,2c609e19,purchase
40daed47,2025-06-03 09:43:25,product,29a18448,view
887dfa17,2025-06-02 19:56:52,purchase,f08f71fd,view
aea9b115,2025-06-04 23:23:54,home,642b1c54,view
70b7c195,2025-06-05 07:22:54,cart,7d07cd26,view
7486b983,2025-06-05 05:48:32,home,1cee6f78,view
4d87ee22,2025-06-06 21:48:43,home,c27914a8,view
deec033e,2025-06-06 05:46:59,home,4c9bf5ff,view
107b4eec,2025-06-07 14:56:01,product,9db1d826,view
8f4710aa,2025-06-04 22:27:36,home,d0a57ed9,view
5260de58,2025-06-02 00:57:15,home,3230efbd,view
21723b6b,2025-06-05 20:53:14,home,094bb838,view
f8c42267,2025-06-01 12:42:43,product,2a4b4886,view
19210316,2025-06-02 23:37:13,home,a8391101,view
2814c0bb,2025-06-06 09:22:19,home,b0f07004,view
a7721e9a,2025-06-05 04:14:29,home,c1ecdb39,view
c450b231,2025-06-02 12:24:07,home,6b4160a7,purchase
3ebeb574,2025-06-02 18:25:46,cart,ecddc031,add_to_cart
3d77f734,2025-06-02 23:16:04,home,c8e6ea35,purchase
c23b84be,2025-06-05 16:29:14,product,961e126e,view
de383ee5,2025-06-06 04:24:31,home,de5c1ba6,view
bc1667ac,2025-06-04 13:09:39,cart,fd2507ac,view
03d38aee,2025-06-05 16:24:00,cart,35c6d3ea,purchase
10899bea,2025-06-03 05:10:27,home,c4a705a2,view
e836c2f7,2025-06-05 11:08:43,home,e55289bc,add_to_cart
fbd84e19,2025-06-02 20:22:19,home,863b29b8,add_to_cart
ac2f2b81,2025-06-05 02:54:43,product,dd017af3,add_to_cart
d4e642df,2025-06-04 15:55:28,home,ca63a24d,view
18ca80b9,2025-06-03 18:31:55,home,d5f800e9,view
ead689e7,2025-06-07 16:21:41,product,a0342ddb,view
29467dc5,2025-06-01 02:39:19,home,49813faa,view
d785979f,2025-06-04 21:19:54,product,3cf0be54,add_to_cart
c764eb7a,2025-06-03 01:00:46,home,3e4e6c8a,purchase
d9df2f10,2025-06-03 16:09:33,purchase,e24b7345,view
961fc121,2025-06-03 13:36:09,home,d5f20e9c,view
648f9dfc,2025-06-01 02:25:35,home,78010075,add_to_cart
f7823ea5,2025-06-01 19:45:12,product,10289126,view
d80b2028,2025-06-03 02:40:24,home,159f03eb,purchase
ad3b216e,2025-06-04 15:13:19,cart,0aaf0acc,add_to_cart
c14adbe5,2025-06-06 06:05:35,cart,49ad189b,view
