user_id,timestamp,page,session_id,action
db10f888,07-06-2025 15:31,product,c01e69f9,view
6e72ae95,03-06-2025 04:03,cart,0176cd40,purchase
161d328d,02-06-2025 16:21,product,dc1fd46b,purchase
91363f3c,01-06-2025 04:57,product,a2b3730d,view
3a02ee0d,07-06-2025 23:01,home,4fec37fa,add_to_cart
4ea1fb33,04-06-2025 06:08,home,b3583921,add_to_cart
1420a280,02-06-2025 22:25,product,81f8473a,view
ee9c0ed2,03-06-2025 23:18,product,a2f1659c,add_to_cart
51e21f41,05-06-2025 20:27,purchase,e2177eda,view
9307d35e,02-06-2025 18:59,checkout,b1db5119,view
d9b3f79d,06-06-2025 17:26,cart,7a3a3fe9,view
2f69567b,04-06-2025 02:53,home,7e2c8823,view
8ea77e0a,03-06-2025 11:29,product,bf5ce952,view
7e173678,07-06-2025 06:00,home,222268df,add_to_cart
9d40aace,04-06-2025 19:29,product,3d3b357c,view
236656c9,03-06-2025 17:14,home,966f84ad,view
f5c430ad,01-06-2025 06:37,product,3384d4e6,view
01de5435,03-06-2025 11:27,product,d086b582,add_to_cart
f38584ad,02-06-2025 09:40,home,54142c58,view
86cf320e,01-06-2025 13:22,cart,00fce74d,view
7ca4c838,03-06-2025 03:12,product,0bc9dc0f,view
e7a59f07,02-06-2025 14:28,home,a035b4c1,view
8f7181c6,06-06-2025 05:23,purchase,71ba6c44,view
487ff886,03-06-2025 17:00,product,3e3c1e99,view
e4c6df66,02-06-2025 13:18,home,4c5aef98,purchase
39c96e0b,01-06-2025 18:27,home,f993991b,view
f27af2d3,07-06-2025 15:52,purchase,529927c0,view
526442f6,05-06-2025 21:22,checkout,e2e98d46,view
8d9c3bda,06-06-2025 11:30,home,e9ba80fd,view
9a8f4ba7,01-06-2025 10:58,checkout,7333f8f3,purchase
a755de15,02-06-2025 09:11,product,2f994cff,purchase
5ab37d6b,03-06-2025 09:49,home,ec88d852,view
9728dde6,04-06-2025 01:50,cart,92f0e198,view
d81a0a87,05-06-2025 14:24,product,5d7ccf7d,add_to_cart
6e6cac7d,05-06-2025 13:13,home,b4408393,view
fcf4016d,04-06-2025 01:36,home,a3e6d680,view
276f77e8,04-06-2025 11:41,product,3747d81a,view
7cab1484,07-06-2025 05:53,cart,abc308ea,view
3cbcb4e6,05-06-2025 14:43,product,3beffd19,view
ac4ef136,03-06-2025 04:11,home,3481ccaa,add_to_cart
6f0edb29,04-06-2025 03:24,cart,ce8fffda,view
86f11df9,03-06-2025 17:30,home,310fc96d,view
5f92d976,06-06-2025 16:33,purchase,133317ed,add_to_cart
2e39347b,03-06-2025 09:55,product,59f7bfc6,view
0199ef7a,01-06-2025 17:23,home,d1607b2f,view
e33445cc,02-06-2025 06:09,product,5ada45be,view
f31b0317,05-06-2025 23:20,product,7e6a12d0,add_to_cart
02afb2a6,03-06-2025 19:27,home,27413884,purchase
4aca8c2f,04-06-2025 18:22,home,fea6ffa5,add_to_cart
a98ac4a4,04-06-2025 07:07,purchase,41deb9ef,view
